uniq_ID,Latitude,Longitude,Name,Max_D_km,Min_D_km
cor_000,79.3,-60.6,Pomona,437,282
cor_001,77.1,-82.7,Anahit,430,340
cor_002,77.0,-156.0,Maslenitsa,241,205
cor_003,75.2,-140.0,no_name#3,100,100
cor_004,73.3,-98.6,Bachue,653,391
cor_005,70.1,136.2,Earhart,414,414
cor_006,69.5,101.2,Tusholi,350,284
cor_007,68.8,89.0,Ops,183,183
cor_008,68.7,-154.3,Nzingha,140,140
cor_009,68.0,-78.3,Feronia,435,352
cor_010,67.8,-61.3,Otau,217,172
cor_011,66.0,-108.0,Upunusa,350,250
cor_012,65.6,-152.4,Casatt,215,160
cor_013,65.5,-139.0,Ninkarraka,150,150
cor_014,64.5,-54.0,Omosi-Mama,480,480
cor_015,63.6,129.5,Nightingale,560,471
cor_016,63.2,-87.0,Coatlicue,335,190
cor_017,62.6,-96.5,Rananeida,503,435
cor_018,61.5,-77.0,no_name#18,225,225
cor_019,61.1,-115.0,no_name#19,150,150
cor_020,60.4,96.0,Vacuna,690,430
cor_021,59.1,106.4,Fakohotu,320,290
cor_022,56.1,-170.9,Aspasia,200,200
cor_023,54.629,-33.5,no_name#23,180,180
cor_024,54.0,151.0,Mari,200,200
cor_025,54.0,21.8,Haumea,375,375
cor_026,53.9,-65.2,Demeter,667,333
cor_027,53.5,155.8,Holde,200,200
cor_028,52.8,-100.7,Bau,515,480
cor_029,52.7,6.8,Nepret,303,303
cor_030,52.6,-53.5,Belwe,600,600
cor_031,52.5,96.5,no_name#31,120,120
cor_032,51.0,-39.0,Xilonen,300,267
cor_033,50.2,-3.0,Ashnan,300,300
cor_034,49.7,-155.3,Neyterkob,225,210
cor_035,49.0,5.5,Onatah,298,298
cor_036,48.7,-113.0,Nalwomga,380,380
cor_037,48.4,0.1,Bahet,300,190
cor_038,45.5,12.0,Audhumla,225,225
cor_039,44.3,14.2,Sulis,136,136
cor_040,43.2,-132.5,Ki,300,300
cor_041,43.2,2.7,Vasudhara,160,160
cor_042,43.0,-141.0,no_name#42,270,270
cor_043,42.4,-145.3,Tituba,250,150
cor_044,41.516,-53.6,no_name#44,120,120
cor_045,41.7,-138.0,no_name#45,160,160
cor_046,41.4,-142.5,no_name#46,180,180
cor_047,41.2,19.0,Trotula,175,175
cor_048,40.8,-88.1,Rauni,271,263
cor_049,39.934,-52.434,no_name#49,120,120
cor_050,38.0,36.5,no_name#50,180,180
cor_051,37.5,-69.5,Emegen,180,180
cor_052,37.5,-154.0,Madalait,180,180
cor_053,37.5,67.5,Olwen,175,175
cor_054,37.0,-103.0,Junkgowa,280,280
cor_055,36.5,-143.0,no_name#55,300,300
cor_056,36.7,-82.5,no_name#56,125,125
cor_057,35.9,48.2,Nefertiti,500,225
cor_058,35.5,-153.0,Qakma,150,150
cor_059,35.0,-66.2,Blathnat,300,225
cor_060,35.0,-89.0,no_name#60,160,160
cor_061,33.5,57.0,Kayanu-Hime,150,150
cor_062,33.0,143.5,Ved-Ava,200,200
cor_063,32.7,-33.8,Renenti,200,200
cor_064,31.7,-118.7,Mawu,385,295
cor_065,31.5,-48.0,Zemire,200,200
cor_066,31.5,-101.7,Zamin,315,315
cor_067,31.5,-105.0,no_name#67,300,300
cor_068,31.214,-110.2,no_name#68,200,200
cor_069,30.373,-113.9,no_name#69,162,162
cor_070,29.0,-12.0,Tutelina,180,180
cor_071,28.704,-40.42,Pasu-Ava,250,250
cor_072,29.0,-117.0,no_name#72,200,200
cor_073,28.0,-37.0,no_name#73,150,150
cor_074,28.0,65.0,Hatshepsut Patera,300,225
cor_075,27.5,-155.0,Benzozia,230,230
cor_076,27.0,136.5,Boann,300,300
cor_077,27.0,35.0,Branwen,320,320
cor_078,26.5,-125.5,Metta,125,125
cor_079,26.5,94.5,Eurynome,200,200
cor_080,26.5,15.5,Beyla,400,400
cor_081,26.1,-16.5,Purandhi,170,170
cor_082,26.0,97.7,Anqet,225,225
cor_083,25.9,-152.0,Asintmah,250,160
cor_084,25.5,-4.5,Nissaba,300,200
cor_085,25.0,-2.0,Idem-Kuva,230,230
cor_086,24.0,-116.5,Acrea,500,225
cor_087,23.5,-141.5,Minona,145,145
cor_088,23.3,21.6,Asomama,180,180
cor_089,23.0,98.0,Maya,225,225
cor_090,22.5,-103.3,no_name#90,150,150
cor_091,22.0,-136.0,no_name#91,350,350
cor_092,21.0,136.5,Kamadhenu,400,400
cor_094,19.9,-128.5,Pani,320,320
cor_095,19.5,-94.5,no_name#95,150,150
cor_096,19.5,-132.5,no_name#96,350,350
cor_097,19.5,153.5,Ituana,220,220
cor_098,19.2,123.5,Nintu,75,75
cor_099,19.361,97.6,no_name#99,380,380
cor_100,18.5,125.0,Abundia,250,250
cor_101,18.3,-19.5,Chiun,150,150
cor_102,17.7,-120.26,no_name#102,125,125
cor_103,17.1,-99.5,Sinlaku,300,300
cor_104,17.0,-125.5,Perchta,500,500
cor_105,17.0,63.5,no_name#105,100,100
cor_106,16.5,-108.5,Taranga,525,525
cor_107,16.5,119.0,Omeciuatl,200,150
cor_108,16.0,-20.0,Benten,310,310
cor_109,16.0,-48.7,Mehseti Patera,80,80
cor_110,15.5,132.5,Kubebe,125,125
cor_111,15.5,114.0,Allatu,125,125
cor_112,14.7,6.259,no_name#112,120,120
cor_113,15.0,118.0,Bhumiya,125,125
cor_114,14.5,111.7,Dhisana,100,100
cor_115,14.3,40.2,Pavlova,500,500
cor_116,14.1,-101.019,Nei-Teukez,125,125
cor_117,14.0,-105.5,no_name#117,125,125
cor_118,14.0,10.0,Nehalennia,345,345
cor_119,12.88,-106.9,no_name#119,200,200
cor_120,12.5,24.0,Libera,350,350
cor_121,12.0,-51.7,Hulda,200,200
cor_122,12.481,-131.1,no_name#122,250,250
cor_123,12.0,-139.0,Zisa,850,850
cor_124,11.78,-116.0,Gashan-Ki,290,290
cor_125,11.0,-111.5,Prthivi,300,300
cor_126,10.9,6.2,Changko,200,200
cor_127,10.5,-108.5,no_name#127,300,300
cor_128,10.0,-114.0,no_name#128,200,200
cor_129,10.0,-131.5,no_name#129,150,150
cor_130,10.0,94.7,no_name#130,120,120
cor_131,9.39,-105.3,Ak-Ene,150,150
cor_132,9.0,-44.5,Madderakka,220,220
cor_133,9.0,-133.0,no_name#133,100,100
cor_134,9.0,-134.5,no_name#134,136,136
cor_135,9.0,68.0,Huraru,150,150
cor_136,8.5,-146.0,no_name#136,275,275
cor_137,8.5,92.0,Atse Estsan,150,150
