uniq_ID,Latitude,Longitude,Name,Max_D_km,Min_D_km
cor_138,8.3,11.7,Sunrta,170,170
cor_139,8.141,-112.448,Rind,150,150
cor_140,7.679,-46.85,no_name#140,90,90
cor_141,6.5,43.5,Calakomana,575,575
cor_142,6.2,-95.3,Shulzhenko Patera,75,75
cor_143,5.964,-148.686,no_name#143,60,60
cor_144,6.0,20.0,Belet-ili,300,300
cor_145,5.5,-43.9,no_name#145,250,250
cor_146,5.5,-47.0,no_name#146,100,100
cor_147,5.0,-10.0,Eingana,375,375
cor_148,5.0,-49.0,no_name#148,150,150
cor_149,5.39,-86.3,no_name#149,375,200
cor_150,4.941,-134.5,no_name#150,450,300
cor_151,4.9,11.0,Rabzhima,100,100
cor_152,3.5,-126.3,no_name#152,225,225
cor_153,3.881,-146.111,no_name#153,136,136
cor_154,3.5,21.5,Gaia,400,400
cor_155,3.0,81.8,Habonde,125,125
cor_156,3.0,57.5,Disani,250,150
cor_157,2.5,-80.0,no_name#157,225,150
cor_158,2.5,-128.5,no_name#158,91,91
cor_159,2.5,-137.0,Lengdin,518,518
cor_160,2.0,-5.0,Heng-o,1060,1060
cor_161,2.0,-123.5,no_name#161,155,155
cor_162,2.272,-140.908,no_name#162,85,85
cor_163,1.467,-101.676,Garbo Patera,100,100
cor_164,0.706,-78.56,no_name#164,170,170
cor_165,0.5,-58.0,Poloznitsa,675,675
cor_166,0.5,75.0,Kaltash,450,450
cor_167,0.213,-95.569,Tari-Pennu,200,200
cor_168,0.131,-119.485,no_name#168,145,145
cor_169,0.0,-123.5,no_name#169,73,73
cor_170,0.0,-128.0,no_name#170,155,155
cor_171,0.0,124.5,Rosmerta,300,300
cor_172,-0.5,-128.7,Blid,118,118
cor_173,-1.291,-148.343,Attabeira,173,173
cor_174,-1.3,173.0,Saunau,200,200
cor_175,-1.4,-105.2,Tenisheva Patera,109,109
cor_176,-1.743,-117.151,no_name#176,145,145
cor_177,-1.699,-145.0,Chantico,180,180
cor_178,-2.0,-150.0,no_name#178,109,109
cor_179,-2.0,145.5,Hepat,150,150
cor_180,-2.65,-139.6,Rogneda Patera,150,150
cor_181,-3.0,-116.9,no_name#181,91,91
cor_182,-3.0,153.0,Seia,225,225
cor_183,-3.5,-100.2,Miti,275,150
cor_184,-3.2,-145.192,Pazar-ana,300,300
cor_185,-4.0,-149.5,Tadaka,260,200
cor_186,-4.0,154.8,no_name#186,150,150
cor_187,-4.3,10.0,Kuan-Yin,250,250
cor_188,-5.2,-127.337,Cherskaya Patera,125,125
cor_189,-5.0,175.0,Eigin,200,200
cor_190,-5.5,-108.8,Javine,450,450
cor_191,-5.478,-124.625,Dietrich Patera,100,100
cor_192,-5.5,65.2,Verdandi,180,180
cor_193,-5.5,34.0,no_name#193,190,190
cor_194,-6.5,-146.0,Jotuni Patera,109,109
cor_195,-6.5,12.9,Thouris,190,190
cor_196,-7.0,-105.712,Viardot Patera,60,60
cor_197,-8.0,33.0,Thermuthis,330,330
cor_198,-8.0,8.6,Atargatis,360,360
cor_199,-8.5,47.0,Nabuzama,525,525
cor_200,-8.8,-100.7,no_name#200,100,100
cor_201,-10.2,176.5,Sith,450,350
cor_202,-11.335,-125.383,Lumimuut,173,173
cor_203,-11.7,-174.0,Zemina,530,530
cor_204,-12.0,-106.0,no_name#204,127,127
cor_205,-12.5,-32.5,Katieleo,210,210
cor_206,-12.5,-109.5,Ludjatako,350,250
cor_207,-12.5,46.0,Mukylchin,525,525
cor_208,-12.949,-122.0,Holla,90,90
cor_209,-13.2,-147.0,Among,145,145
cor_210,-14.0,-135.5,Ulgen-ekhe,100,100
cor_211,-15.5,-172.0,no_name#211,125,125
cor_212,-16.0,-116.5,Atete,600,600
cor_213,-16.0,151.5,Ceres,675,675
cor_214,-16.3,-8.8,Tumas,200,200
cor_215,-16.3,-126.3,Erkir,255,255
cor_216,-16.3,17.7,Fatua,400,400
cor_217,-16.4,-12.5,Iyatik,180,180
cor_218,-16.5,-68.0,no_name#218,100,100
cor_219,-16.5,-152.0,Kolias,236,236
cor_220,-16.7,-136.3,no_name#220,125,125
cor_221,-17.2,-16.4,Bhumidevi,150,150
cor_222,-17.5,-132.0,no_name#222,100,100
cor_223,-18.0,-158.5,no_name#223,150,150
cor_224,-18.0,120.3,Inari,300,200
cor_225,-18.7,-109.6,Dilga,220,220
cor_226,-19.0,-25.0,Pugos,180,180
cor_227,-19.0,-121.5,Aeracura,250,250
cor_228,-19.0,-126.5,Beruth,660,380
cor_229,-19.0,-138.5,Onenhste,145,145
cor_230,-19.0,-160.0,no_name#230,65,65
cor_231,-19.0,170.0,Atahensik,870,750
cor_232,-19.5,-125.0,no_name#232,127,127
cor_233,-19.5,-163.5,no_name#233,273,273
cor_234,-19.5,44.5,Juksakka,320,320
cor_235,-20.0,-161.5,no_name#235,145,145
cor_236,-20.3,-129.7,Ndoi,140,140
cor_237,-20.5,-16.5,Qetesh,150,150
cor_238,-20.5,-147.8,Inacho,127,127
cor_239,-21.0,-50.0,Iweridd,500,500
cor_240,-21.3,-93.7,Wilde Patera,90,90
cor_241,-21.5,-139.5,Momu,127,127
cor_242,-21.5,-146.5,Emegelji,225,100
cor_243,-21.5,97.3,no_name#243,160,160
cor_244,-21.7,-89.0,Kapenopfu,250,200
cor_245,-21.7,-149.8,Villepreux-Power Patera,100,100
cor_246,-22.0,-119.5,Zaramama,240,240
cor_247,-22.0,-146.0,no_name#247,100,100
cor_248,-22.5,-128.0,no_name#248,164,164
cor_249,-22.5,57.0,Ma,450,450
cor_250,-22.8,-100.4,no_name#250,380,380
cor_251,-23.5,-94.5,Chuku,380,380
cor_252,-23.8,-130.5,Samsing,118,118
cor_253,-24.0,-109.5,Lalohonua,530,310
cor_254,-24.0,-127.5,no_name#254,82,82
cor_255,-24.0,157.5,Bona,275,275
cor_256,-24.5,72.0,Nishtigri,275,275
cor_257,-24.8,-149.2,Fefafa,100,100
cor_258,-25.5,-91.0,Hervor,250,250
cor_259,-25.5,-164.0,Payne-Gaposchkin Patera,100,100
cor_260,-25.5,103.0,no_name#260,225,225
cor_261,-26.3,82.0,Aramaiti,350,350
cor_262,-27.0,85.7,Ohogetsu,175,175
cor_263,-27.0,31.0,Mama-Allpa,300,300
cor_264,-27.5,-98.1,Kulimina,225,225
cor_265,-27.8,-145.0,no_name#265,109,109
cor_266,-27.5,154.0,Mayaeul,200,200
cor_267,-27.5,50.5,Umay-Ene,370,370
cor_268,-27.7,165.8,Agraulus,170,170
cor_269,-28.0,-151.5,Epona,535,225
cor_270,-28.2,-90.5,Xmukane,209,209
cor_271,-28.5,-102.0,no_name#271,200,200
cor_272,-29.0,-77.5,Anjea,145,145
cor_273,-29.5,-88.5,Lilwani,500,500
cor_274,-30.0,-84.0,Gertjon,250,250
cor_275,-29.2,-114.5,Chanum,420,225
cor_276,-31.0,-73.5,Durga,227,227
cor_277,-31.9,-83.4,Obiemi,300,225
cor_278,-32.0,-0.2,Eve,330,330
cor_279,-32.0,151.0,Colijnsplaat,350,350
cor_280,-32.3,-158.0,Nott,150,150
cor_281,-32.5,-104.5,Oanuava,375,200
cor_282,-32.5,95.0,Tai Shan,175,175
cor_283,-33.0,-92.5,no_name#283,164,164
cor_284,-33.4,-56.4,Tunehawke,290,290
cor_285,-33.5,-81.5,Rigatona,300,300
cor_286,-33.5,98.5,Gefjun,300,300
cor_287,-33.5,50.0,Zemlika,150,150
cor_288,-34.5,-72.0,Santa,200,200
cor_289,-34.5,-76.0,Erigone,325,225
cor_290,-34.3,-89.3,Hutash,91,91
cor_291,-34.7,-93.7,Nordenflycht Patera,180,180
cor_292,-35.5,152.0,Annapurna,300,300
cor_293,-36.0,-55.4,Persephone,145,145
cor_294,-36.0,-61.5,Tamiyo,375,330
cor_295,-36.0,-83.5,Parvati,173,173
cor_296,-36.5,-93.1,no_name#296,218,218
cor_297,-36.0,21.8,Pachamama,130,130
cor_298,-36.3,6.0,Tamfana,400,400
cor_299,-36.5,-113.0,Sitapi,270,180
cor_300,-37.0,-67.0,Semiramus,375,375
cor_301,-37.0,-72.0,Tacoma,500,500
cor_302,-37.0,43.0,Xcanil,200,200
cor_303,-37.0,35.9,Inanna,350,225
cor_304,-37.5,70.5,Indrani,200,200
cor_305,-37.5,3.0,Carpo,215,215
cor_306,-38.0,-50.0,Vovchok,100,100
cor_307,-38.0,-102.0,Furachoga,550,550
cor_308,-38.5,149.5,Teteoinnan,125,125
cor_309,-38.6,-68.8,Zywie,200,200
cor_310,-38.7,-73.0,Latta,225,225
cor_311,-38.7,-119.0,Hlineu,150,150
cor_312,-38.8,-75.5,Shulamite,275,275
cor_313,-39.0,-63.9,Ukemochi,325,325
cor_314,-41.703,-94.643,no_name#314,118,118
cor_315,-42.0,-80.2,Shiwanokia,675,675
cor_316,-42.0,-103.5,no_name#316,100,100
cor_317,-42.5,-114.3,Nungui,150,150
cor_318,-42.5,75.5,Copia,640,460
cor_319,-42.5,6.0,Selu,300,300
cor_320,-45.7,-81.8,Ama,300,300
cor_321,-46.917,-101.69,Tangba,175,175
cor_322,-46.0,-96.0,Erekeler,375,300
cor_323,-46.5,81.5,Khotun,200,200
cor_324,-46.8,20.2,Derceto,200,110
cor_325,-47.0,-58.0,Bibi-Patma,450,450
cor_326,-47.0,86.0,Makh,275,275
cor_327,-47.2,-150.8,Banba,110,110
cor_328,-47.677,-66.529,Orbona,180,180
cor_329,-48.0,88.3,Cailleach,125,125
cor_330,-48.6,-63.5,Navolga,170,170
cor_331,-49.5,-70.5,Partula,225,225
cor_332,-50.0,40.0,Ekhe-Burkhan,600,600
cor_333,-51.5,-70.5,Tureshmat,150,150
cor_334,-52.3,14.6,Sarpanitum,170,170
cor_335,-53.0,164.0,Tonatzin,400,400
cor_336,-53.0,67.5,Marzyana,550,550
cor_337,-53.5,95.0,Triglaua,450,275
cor_338,-54.0,-119.0,Sus-Khotin,110,110
cor_339,-55.5,167.0,Utset,150,150
cor_340,-57.0,30.0,Otygen,400,400
cor_341,-57.0,7.5,Eithinoha,500,500
cor_342,-57.5,42.5,Dyamenyuo,200,200
cor_343,-58.3,-110.5,Naotsete,200,200
cor_344,-58.5,-10.5,Jord,130,130
cor_345,-58.5,163.5,Fotla,150,150
cor_346,-60.5,85.0,Dunne-Musun,630,630
cor_347,-62.0,-119.0,Seiusi,150,150
cor_348,-62.5,41.5,Toyo-uke,300,300
cor_349,-63.5,-37.5,Kamui-Huci,300,300
cor_350,-65.5,-85.0,Vesuna,200,200
cor_351,-65.5,38.0,Demvamvit,370,370
cor_352,-66.0,84.0,no_name#352,330,225
cor_353,-66.6,-150.4,Phra Naret,150,75
cor_354,-67.2,-142.1,Ament,115,115
cor_355,-67.5,118.0,Deohako,300,300
cor_356,-70.573,42.0,Okhin-Tengri,400,400
cor_357,-73.0,99.0,Mykj-imi,150,150
cor_358,-78.039,39.0,Su-Anasy,525,225
cor_359,-76.5,-105.0,Ugatame,370,370
cor_360,-57.0,63.0,Shyv Amashe,275,275
cor_361,-64.5,-124.5,Moombi,100,100
cor_362,-49.185,59.455,Mou-Nyamy,200,200
cor_363,-46.0,56.0,Codidon,250,175
cor_364,-69.5,65.0,Ilyana,300,300
cor_365,-64.0,123.0,Latmikaik,500,500
cor_366,-68.0,-3.0,Quetzalpetlatl,780,780
cor_367,-70.0,-1.0,Boala,220,220
cor_368,-20.5,-140.5,no_name#368,82,82
cor_369,-14.0,163.8,Miralaidji,950,512
