uniq_ID,Latitude,Longitude,Name,Max_D_km
vlc_116,13.66,-68.5,Samodiva Mons,288.98
vlc_117,-27.1,-87.07,Ts'an Nu Mons,252.62
vlc_118,13.88,-45.22,Tuli Mons,521.71
vlc_119,-41.9,41.57,Tuzandi Mons,242.55
vlc_120,-6.19,-60.74,Vostrukha Mons,205.89
vlc_121,14.1,-113.01,Wyrd Mons,224.53
vlc_122,39.66,-165.94,Xtoh Mons,236.17
vlc_123,-8.97,-145.73,Ya-Yerv Corona,422.56
vlc_124,-31.95,99.71,no_name#124,276.06
vlc_125,-10.7,173.07,Khabuchi Corona,346.5
vlc_126,-7.13,-138.25,Maram Corona,412.935
vlc_127,14.47,-155.12,Nahas-tsan Mons,486.74
vlc_128,22.19,-120.37,Nazit Mons,265.795
vlc_129,-37.84,23.61,Ninhursag Corona,283.785
vlc_130,-11.01,-148.68,Oduduwa Corona,258.075
vlc_131,14.55,15.69,Sappho Patera,499.5
vlc_132,-16.51,-105.02,Spandarmat Mons,415.43
vlc_133,32.84,-121.26,Venilia Mons,311.66
vlc_134,9.03,-140.79,no_name#134,195.18
vlc_135,12.3,-133.44,no_name#135,471.69
